"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","Fence","MiscVal","MoSold","YrSold","SaleCondition","SalePrice"
"13",13,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,12968,"Moderately Irregular","Inside lot","Sawyer","Single-family Detached","One story",5,6,1962,1962,"Hip","Hard Board","Plywood","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",737,"Unfinished",0,175,912,"Average/Typical",912,0,0,912,1,0,1,0,2,1,4,0,"No Fireplace","Detached from home",1962,"Unfinished",1,352,140,0,0,0,176,0,"No Fence",0,9,2008,"Normal Sale",144000
"14",14,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",91,10652,"Slightly irregular","Inside lot","College Creek","Single-family Detached","One story",7,5,2006,2007,"Gable","Vinyl Siding","Vinyl Siding","Stone",306,"Good","Poured Contrete","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",0,"Unfinished",0,1494,1494,"Excellent",1494,0,0,1494,0,0,2,0,3,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2006,"Rough Finished",3,840,160,33,0,0,0,0,"No Fence",0,8,2007,"Home was not completed when last assessed (associated with New Homes)",279500
"15",15,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,10920,"Slightly irregular","Corner lot","NAmes","Single-family Detached","One story",6,5,1960,1960,"Hip","Metal Siding","Metal Siding","Brick Face",212,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",733,"Unfinished",0,520,1253,"Average/Typical",1253,0,0,1253,1,0,1,1,2,1,5,1,"Fair - Prefabricated Fireplace in basement","Attached to home",1960,"Rough Finished",1,352,0,213,176,0,0,0,"Good Wood",0,5,2008,"Normal Sale",157000
"16",16,"1-1/2 STORY - UNFINISHED ALL AGES","Residential Medium Density",51,6120,"Regular","Corner lot","Brookside","Single-family Detached","One and one-half story: 2nd level unfinished",7,8,1929,2001,"Gable","Wood Siding","Wood Siding","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,832,832,"Excellent",854,0,0,854,0,0,1,0,2,1,5,0,"No Fireplace","Detached from home",1991,"Unfinished",2,576,48,112,0,0,0,0,"Good Privacy",0,7,2007,"Normal Sale",132000
"17",17,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,11241,"Slightly irregular","Cul-de-sac","NAmes","Single-family Detached","One story",6,7,1970,1970,"Gable","Wood Siding","Wood Siding","Brick Face",180,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",578,"Unfinished",0,426,1004,"Excellent",1004,0,0,1004,1,0,1,0,2,1,5,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1970,"Finished",2,480,0,0,0,0,0,0,"No Fence",700,3,2010,"Normal Sale",149000
"18",18,"DUPLEX - ALL STYLES AND AGES","Residential Low Density",72,10791,"Regular","Inside lot","Sawyer","Duplex","One story",4,5,1967,1967,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Slab","No Basement","No Basement",0,"No Basement",0,0,0,"Average/Typical",1296,0,0,1296,0,0,2,0,2,2,6,0,"No Fireplace","Car Port",1967,"Unfinished",2,516,0,0,0,0,0,0,"No Fence",500,10,2006,"Normal Sale",90000
"19",19,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",66,13695,"Regular","Inside lot","Sawyer West","Single-family Detached","One story",5,5,2004,2004,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Average/Typical","Poured Contrete","Typical (80-89 inches)","No Exposure",646,"Unfinished",0,468,1114,"Excellent",1114,0,0,1114,1,0,1,1,3,1,6,0,"No Fireplace","Detached from home",2004,"Unfinished",2,576,0,102,0,0,0,0,"No Fence",0,6,2008,"Normal Sale",159000
"20",20,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",70,7560,"Regular","Inside lot","NAmes","Single-family Detached","One story",5,6,1958,1965,"Hip","Brick Face","Plywood","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",504,"Unfinished",0,525,1029,"Average/Typical",1339,0,0,1339,0,0,1,0,3,1,6,0,"No Fireplace","Attached to home",1958,"Unfinished",1,294,0,0,0,0,0,0,"Minimum Privacy",0,5,2009,"Abnormal Sale -  trade, foreclosure, short sale",139000
"21",21,"2-STORY 1946 and NEWER","Residential Low Density",101,14215,"Slightly irregular","Corner lot","Northridge Heights","Single-family Detached","Two story",8,5,2005,2006,"Gable","Vinyl Siding","Vinyl Siding","Brick Face",380,"Good","Poured Contrete","Excellent (100+ inches)","Average Exposure (split levels or foyers typically score average or above)",0,"Unfinished",0,1158,1158,"Excellent",1158,1218,0,2376,0,0,3,1,4,1,9,1,"Good - Masonry Fireplace in main level","Built-In (Garage part of house - typically has room above garage)",2005,"Rough Finished",3,853,240,154,0,0,0,0,"No Fence",0,11,2006,"Home was not completed when last assessed (associated with New Homes)",325300
"22",22,"1-1/2 STORY - UNFINISHED ALL AGES","Residential Medium Density",57,7449,"Regular","Inside lot","Iowa DOT and Rail Road","Single-family Detached","One and one-half story: 2nd level unfinished",7,7,1930,1950,"Gable","Wood Siding","Wood Siding","None",0,"Average/Typical","Poured Contrete","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,637,637,"Excellent",1108,0,0,1108,0,0,1,0,3,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",1930,"Unfinished",1,280,0,0,205,0,0,0,"Good Privacy",0,6,2007,"Normal Sale",139400
"23",23,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",75,9742,"Regular","Inside lot","College Creek","Single-family Detached","One story",8,5,2002,2002,"Hip","Vinyl Siding","Vinyl Siding","Brick Face",281,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,1777,1777,"Excellent",1795,0,0,1795,0,0,2,0,3,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2002,"Rough Finished",2,534,171,159,0,0,0,0,"No Fence",0,9,2008,"Normal Sale",230000
"24",24,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Medium Density",44,4224,"Regular","Inside lot","Meadow Village","Townhouse End Unit","One story",5,7,1976,1976,"Gable","Cement Board","CmentBd","None",0,"Average/Typical","Poured Contrete","Good (90-99 inches)","No Exposure",840,"Unfinished",0,200,1040,"Average/Typical",1060,0,0,1060,1,0,1,0,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1976,"Unfinished",2,572,100,110,0,0,0,0,"No Fence",0,6,2007,"Normal Sale",129900
"25",25,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,8246,"Slightly irregular","Inside lot","Sawyer","Single-family Detached","One story",5,8,1968,2001,"Gable","Plywood","Plywood","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","Mimimum Exposure",188,"Average Living Quarters",668,204,1060,"Excellent",1060,0,0,1060,1,0,1,0,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1968,"Unfinished",1,270,406,90,0,0,0,0,"Minimum Privacy",0,5,2010,"Normal Sale",154000
"26",26,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",110,14230,"Regular","Corner lot","Northridge Heights","Single-family Detached","One story",8,5,2007,2007,"Gable","Vinyl Siding","Vinyl Siding","Stone",640,"Good","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,1566,1566,"Excellent",1600,0,0,1600,0,0,2,0,3,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2007,"Rough Finished",3,890,0,56,0,0,0,0,"No Fence",0,7,2009,"Normal Sale",256300
"27",27,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",60,7200,"Regular","Corner lot","NAmes","Single-family Detached","One story",5,7,1951,2000,"Gable","Wood Siding","Wood Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","Mimimum Exposure",234,"Average Rec Room",486,180,900,"Average/Typical",900,0,0,900,0,1,1,0,3,1,5,0,"No Fireplace","Detached from home",2005,"Unfinished",2,576,222,32,0,0,0,0,"No Fence",0,5,2010,"Normal Sale",134800
"28",28,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",98,11478,"Regular","Inside lot","Northridge Heights","Single-family Detached","One story",8,5,2007,2008,"Gable","Vinyl Siding","Vinyl Siding","Stone",200,"Good","Poured Contrete","Excellent (100+ inches)","No Exposure",1218,"Unfinished",0,486,1704,"Excellent",1704,0,0,1704,1,0,2,0,3,1,7,1,"Good - Masonry Fireplace in main level","Attached to home",2008,"Rough Finished",3,772,0,50,0,0,0,0,"No Fence",0,5,2010,"Normal Sale",306000
"29",29,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",47,16321,"Slightly irregular","Cul-de-sac","NAmes","Single-family Detached","One story",5,6,1957,1997,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","Good Exposure",1277,"Unfinished",0,207,1484,"Average/Typical",1600,0,0,1600,1,0,1,0,2,1,6,2,"Good - Masonry Fireplace in main level","Attached to home",1957,"Rough Finished",1,319,288,258,0,0,0,0,"No Fence",0,12,2006,"Normal Sale",207500
"30",30,"1-STORY 1945 and OLDER","Residential Medium Density",60,6324,"Slightly irregular","Inside lot","Brookside","Single-family Detached","One story",4,6,1927,1950,"Gable","Metal Siding","Metal Siding","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,520,520,"Fair",520,0,0,520,0,0,1,0,1,1,4,0,"No Fireplace","Detached from home",1920,"Unfinished",1,240,49,0,87,0,0,0,"No Fence",0,5,2008,"Normal Sale",68500
"31",31,"2-STORY 1945 and OLDER","C (all)",50,8500,"Regular","Inside lot","Iowa DOT and Rail Road","Single-family Detached","Two story",4,4,1920,1950,"Gambrel","Brick Face","Brick Face","None",0,"Average/Typical","Brick and Tile","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,649,649,"Average/Typical",649,668,0,1317,0,0,1,0,3,1,6,0,"No Fireplace","Detached from home",1920,"Unfinished",1,250,0,54,172,0,0,0,"Minimum Privacy",0,7,2008,"Normal Sale",40000
"32",32,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,8544,"Slightly irregular","Cul-de-sac","Sawyer","Single-family Detached","One story",5,6,1966,2006,"Gable","Hard Board","Hard Board","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",0,"Unfinished",0,1228,1228,"Good",1228,0,0,1228,0,0,1,1,3,1,6,0,"No Fireplace","Attached to home",1966,"Unfinished",1,271,0,65,0,0,0,0,"Minimum Privacy",0,6,2008,"Normal Sale",149350
"33",33,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",85,11049,"Regular","Corner lot","College Creek","Single-family Detached","One story",8,5,2007,2007,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Excellent (100+ inches)","Average Exposure (split levels or foyers typically score average or above)",0,"Unfinished",0,1234,1234,"Excellent",1234,0,0,1234,0,0,2,0,3,1,7,0,"No Fireplace","Attached to home",2007,"Rough Finished",2,484,0,30,0,0,0,0,"No Fence",0,1,2008,"Normal Sale",179900
"34",34,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",70,10552,"Slightly irregular","Inside lot","NAmes","Single-family Detached","One story",5,5,1959,1959,"Hip","Brick Face","Brick Face","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",1018,"Unfinished",0,380,1398,"Good",1700,0,0,1700,0,1,1,1,4,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",1959,"Rough Finished",2,447,0,38,0,0,0,0,"No Fence",0,4,2010,"Normal Sale",165500
"35",35,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Low Density",60,7313,"Regular","Inside lot","Northridge Heights","Townhouse End Unit","One story",9,5,2005,2005,"Hip","Metal Siding","Metal Siding","Brick Face",246,"Excellent","Poured Contrete","Excellent (100+ inches)","No Exposure",1153,"Unfinished",0,408,1561,"Excellent",1561,0,0,1561,1,0,2,0,2,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",2005,"Finished",2,556,203,47,0,0,0,0,"No Fence",0,8,2007,"Normal Sale",277500
"36",36,"2-STORY 1946 and NEWER","Residential Low Density",108,13418,"Regular","Inside lot","Northridge Heights","Single-family Detached","Two story",8,5,2004,2005,"Gable","Vinyl Siding","Vinyl Siding","Stone",132,"Good","Poured Contrete","Excellent (100+ inches)","Average Exposure (split levels or foyers typically score average or above)",0,"Unfinished",0,1117,1117,"Excellent",1132,1320,0,2452,0,0,3,1,4,1,9,1,"Good - Masonry Fireplace in main level","Built-In (Garage part of house - typically has room above garage)",2004,"Finished",3,691,113,32,0,0,0,0,"No Fence",0,9,2006,"Normal Sale",309000
"37",37,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",112,10859,"Regular","Corner lot","College Creek","Single-family Detached","One story",5,5,1994,1995,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Average/Typical","Poured Contrete","Good (90-99 inches)","No Exposure",0,"Unfinished",0,1097,1097,"Excellent",1097,0,0,1097,0,0,1,1,3,1,6,0,"No Fireplace","Attached to home",1995,"Unfinished",2,672,392,64,0,0,0,0,"No Fence",0,6,2009,"Normal Sale",145000
"38",38,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",74,8532,"Regular","Inside lot","NAmes","Single-family Detached","One story",5,6,1954,1990,"Hip","Wood Siding","Wood Siding","Brick Face",650,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",1213,"Unfinished",0,84,1297,"Good",1297,0,0,1297,0,1,1,0,3,1,5,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1954,"Finished",2,498,0,0,0,0,0,0,"No Fence",0,10,2009,"Normal Sale",153000
"39",39,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",68,7922,"Regular","Inside lot","NAmes","Single-family Detached","One story",5,7,1953,2007,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",731,"Unfinished",0,326,1057,"Average/Typical",1057,0,0,1057,1,0,1,0,3,1,5,0,"No Fireplace","Detached from home",1953,"Unfinished",1,246,0,52,0,0,0,0,"No Fence",0,1,2010,"Abnormal Sale -  trade, foreclosure, short sale",109000
"40",40,"DUPLEX - ALL STYLES AND AGES","Residential Low Density",65,6040,"Regular","Inside lot","Edwards","Duplex","One story",4,5,1955,1955,"Gable","Asbestos Shingles","Plywood","None",0,"Average/Typical","Poured Contrete","No Basement","No Basement",0,"No Basement",0,0,0,"Average/Typical",1152,0,0,1152,0,0,2,0,2,2,6,0,"No Fireplace","No Garage",1955,"No Garage",0,0,0,0,0,0,0,0,"No Fence",0,6,2008,"Adjoining Land Purchase",82000
"41",41,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",84,8658,"Regular","Inside lot","NAmes","Single-family Detached","One story",6,5,1965,1965,"Gable","Wood Siding","Wood Siding","Brick Face",101,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",643,"Unfinished",0,445,1088,"Excellent",1324,0,0,1324,0,0,2,0,3,1,6,1,"Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement","Attached to home",1965,"Rough Finished",2,440,0,138,0,0,0,0,"Good Wood",0,12,2006,"Abnormal Sale -  trade, foreclosure, short sale",160000
"42",42,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",115,16905,"Regular","Inside lot","Timberland","Single-family Detached","One story",5,6,1959,1959,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","Good Exposure",967,"Unfinished",0,383,1350,"Good",1328,0,0,1328,0,1,1,1,2,1,5,2,"Good - Masonry Fireplace in main level","Attached to home",1959,"Rough Finished",1,308,0,104,0,0,0,0,"No Fence",0,7,2007,"Normal Sale",170000
"43",43,"SPLIT FOYER","Residential Low Density",69,9180,"Slightly irregular","Cul-de-sac","Sawyer West","Single-family Detached","Split Foyer",5,7,1983,1983,"Gable","Hard Board","Hard Board","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",747,"Low Quality",93,0,840,"Good",884,0,0,884,1,0,1,0,2,1,5,0,"No Fireplace","Attached to home",1983,"Rough Finished",2,504,240,0,0,0,0,0,"Minimum Privacy",0,12,2007,"Normal Sale",144000
"44",44,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",69,9200,"Slightly irregular","Cul-de-sac","College Creek","Single-family Detached","One story",5,6,1975,1980,"Hip","Vinyl Siding","Vinyl Siding","None",0,"Average/Typical","Cinder Block","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",280,"Below Average Living Quarters",491,167,938,"Average/Typical",938,0,0,938,1,0,1,0,3,1,5,0,"No Fireplace","Detached from home",1977,"Unfinished",1,308,145,0,0,0,0,0,"Minimum Privacy",0,7,2008,"Normal Sale",130250
"45",45,"1-STORY 1946 and NEWER ALL STYLES","Residential Low Density",70,7945,"Regular","Inside lot","NAmes","Single-family Detached","One story",5,6,1959,1959,"Gable","Brick Face","Wood Siding","None",0,"Average/Typical","Cinder Block","Typical (80-89 inches)","No Exposure",179,"Below Average Living Quarters",506,465,1150,"Excellent",1150,0,0,1150,1,0,1,0,3,1,6,0,"No Fireplace","Attached to home",1959,"Rough Finished",1,300,0,0,0,0,0,0,"No Fence",0,5,2006,"Normal Sale",141000
"46",46,"1-STORY PUD (Planned Unit Development) - 1946 and NEWER","Residential Low Density",61,7658,"Regular","Inside lot","Northridge Heights","Townhouse End Unit","One story",9,5,2005,2005,"Hip","Metal Siding","Metal Siding","Brick Face",412,"Excellent","Poured Contrete","Excellent (100+ inches)","No Exposure",456,"Unfinished",0,1296,1752,"Excellent",1752,0,0,1752,1,0,2,0,2,1,6,1,"Good - Masonry Fireplace in main level","Attached to home",2005,"Rough Finished",2,576,196,82,0,0,0,0,"No Fence",0,2,2010,"Normal Sale",319900
"47",47,"1-1/2 STORY FINISHED ALL AGES","Residential Low Density",48,12822,"Slightly irregular","Cul-de-sac","Mitchell","Single-family Detached","One and one-half story: 2nd level finished",7,5,2003,2003,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Excellent (100+ inches)","No Exposure",1351,"Unfinished",0,83,1434,"Excellent",1518,631,0,2149,1,0,1,1,1,1,6,1,"Excellent - Exceptional Masonry Fireplace","Attached to home",2003,"Rough Finished",2,670,168,43,0,0,198,0,"No Fence",0,8,2009,"Abnormal Sale -  trade, foreclosure, short sale",239686
"48",48,"1-STORY 1946 and NEWER ALL STYLES","Floating Village Residential",84,11096,"Regular","Inside lot","Somerset","Single-family Detached","One story",8,5,2006,2006,"Gable","Vinyl Siding","Vinyl Siding","None",0,"Good","Poured Contrete","Good (90-99 inches)","Average Exposure (split levels or foyers typically score average or above)",24,"Unfinished",0,1632,1656,"Excellent",1656,0,0,1656,0,0,2,0,3,1,7,0,"No Fireplace","Attached to home",2006,"Rough Finished",3,826,0,146,0,0,0,0,"No Fence",0,7,2007,"Normal Sale",249700
